,TRADEDATE,CLOSE
628,2015-09-24,73.33
629,2015-09-25,74.97
630,2015-09-28,74.57
631,2015-09-29,75.5
632,2015-09-30,75.3
633,2015-10-01,74.51
634,2015-10-02,73.8
635,2015-10-05,76.2
636,2015-10-06,77.31
637,2015-10-07,79.65
638,2015-10-08,83.11
639,2015-10-09,85.77
640,2015-10-12,85.45
641,2015-10-13,85.0
642,2015-10-14,86.81
643,2015-10-15,87.7
644,2015-10-16,88.52
645,2015-10-19,87.07
646,2015-10-20,88.14
647,2015-10-21,86.95
648,2015-10-22,86.53
649,2015-10-23,90.45
650,2015-10-26,92.3
651,2015-10-27,89.0
652,2015-10-28,90.05
653,2015-10-29,88.6
654,2015-10-30,90.53
655,2015-11-02,93.65
656,2015-11-03,95.4
657,2015-11-05,95.5
658,2015-11-06,94.09
659,2015-11-09,92.95
660,2015-11-10,94.35
661,2015-11-11,94.0
662,2015-11-12,94.29
663,2015-11-13,93.4
664,2015-11-16,95.8
665,2015-11-17,102.5
666,2015-11-18,104.0
667,2015-11-19,104.86
668,2015-11-20,107.3
669,2015-11-23,109.98
670,2015-11-24,105.6
671,2015-11-25,108.51
672,2015-11-26,106.48
673,2015-11-27,104.55
674,2015-11-30,102.9
675,2015-12-01,101.3
676,2015-12-02,102.5
677,2015-12-03,104.0
678,2015-12-04,103.05
679,2015-12-07,103.0
680,2015-12-08,97.0
681,2015-12-09,100.66
682,2015-12-10,100.13
683,2015-12-11,98.15
684,2015-12-14,97.7
685,2015-12-15,100.0
686,2015-12-16,102.45
687,2015-12-17,103.75
688,2015-12-18,98.81
689,2015-12-21,98.73
690,2015-12-22,99.8
691,2015-12-23,102.96
692,2015-12-24,101.35
693,2015-12-25,101.34
694,2015-12-28,100.2
695,2015-12-29,101.82
696,2015-12-30,101.26
697,2016-01-04,98.01
698,2016-01-05,98.89
699,2016-01-06,96.85
700,2016-01-11,91.03
701,2016-01-12,91.71
702,2016-01-13,91.5
703,2016-01-14,93.04
704,2016-01-15,87.27
705,2016-01-18,86.15
706,2016-01-19,86.68
707,2016-01-20,83.83
708,2016-01-21,86.0
709,2016-01-22,91.5
710,2016-01-25,91.0
711,2016-01-26,91.5
712,2016-01-27,95.75
713,2016-01-28,96.69
714,2016-01-29,96.5
715,2016-02-01,96.5
716,2016-02-02,94.4
717,2016-02-03,94.53
718,2016-02-04,97.57
719,2016-02-05,97.2
720,2016-02-08,94.7
721,2016-02-09,93.89
722,2016-02-10,96.35
723,2016-02-11,94.2
724,2016-02-12,94.85
725,2016-02-15,95.25
726,2016-02-16,96.51
727,2016-02-17,99.2
728,2016-02-18,102.7
729,2016-02-19,101.5
730,2016-02-20,102.39
731,2016-02-22,103.2
732,2016-02-24,102.1
733,2016-02-25,104.05
734,2016-02-26,106.24
735,2016-02-29,107.0
736,2016-03-01,108.26
737,2016-03-02,106.12
738,2016-03-03,106.99
739,2016-03-04,108.99
740,2016-03-07,109.47
741,2016-03-09,108.15
742,2016-03-10,108.84
743,2016-03-11,109.26
744,2016-03-14,109.26
745,2016-03-15,106.46
746,2016-03-16,107.0
747,2016-03-17,109.47
748,2016-03-18,112.4
749,2016-03-21,112.07
750,2016-03-22,111.49
751,2016-03-23,109.1
752,2016-03-24,108.06
753,2016-03-25,109.1
754,2016-03-28,108.12
755,2016-03-29,107.05
756,2016-03-30,109.15
757,2016-03-31,109.9
758,2016-04-01,108.52
759,2016-04-04,108.2
760,2016-04-05,106.87
761,2016-04-06,108.0
762,2016-04-07,108.51
763,2016-04-08,112.92
764,2016-04-11,117.35
765,2016-04-12,117.95
766,2016-04-13,119.5
767,2016-04-14,119.3
768,2016-04-15,119.3
769,2016-04-18,118.2
770,2016-04-19,121.5
771,2016-04-20,123.75
